0.000000,0.000000
0.200000,0.000000
0.400000,0.000000
0.600000,0.000000
0.800000,0.000000
1.000000,0.000000
1.200000,0.000000
1.400000,0.000000
1.600000,0.000000
1.800000,0.000000
2.000000,0.000000
2.200000,0.000000
2.400000,0.000000
2.600000,0.000000
2.800000,0.000000
3.000000,0.000000
3.200000,0.000000
3.400000,0.000000
3.600000,0.000000
3.800000,0.000000
4.000000,0.000000
4.000000,0.000000
4.181250,0.239057
4.362500,0.478115
4.543750,0.717172
4.725000,0.956230
4.906250,1.195287
5.087500,1.434344
5.268750,1.673402
5.450000,1.912459
5.631250,2.151517
5.812500,2.390574
5.993750,2.629631
6.175000,2.868689
6.356250,3.107746
6.537500,3.346804
6.718750,3.585861
6.900000,3.824918
7.081250,4.063976
7.262500,4.303033
7.443750,4.542090
7.625000,4.781148
7.625000,4.781148
7.243750,4.542090
6.862500,4.303033
6.481250,4.063976
6.100000,3.824918
5.718750,3.585861
5.337500,3.346804
4.956250,3.107746
4.575000,2.868689
4.193750,2.629631
3.812500,2.390574
3.431250,2.151517
3.050000,1.912459
2.668750,1.673402
2.287500,1.434344
1.906250,1.195287
1.525000,0.956230
1.143750,0.717172
0.762500,0.478115
0.381250,0.239057
0.000000,0.000000
